"threshold","min_area","blur_ksize","morph_ksize","over_cnt","over_total","over_pct","under_cnt","under_total","under_pct","mean_ms"
"25","50","5","5","23","23","100","0","109","0","7.59302"
"30","50","5","5","21","23","91.3","2","109","1.83","7.67554"
"35","50","5","5","20","23","86.96","5","109","4.59","7.68766"
"40","50","5","5","16","23","69.57","23","109","21.1","7.58433"
"45","50","5","5","14","23","60.87","31","109","28.44","7.55127"
"50","50","5","5","8","23","34.78","41","109","37.61","7.22944"
"55","50","5","5","5","23","21.74","53","109","48.62","7.62495"
"60","50","5","5","5","23","21.74","61","109","55.96","7.40212"
"65","50","5","5","2","23","8.7","66","109","60.55","7.76341"
"70","50","5","5","0","23","0","69","109","63.3","7.16798"
