"use_ecc","k","sigma_min","min_area","blur_ksize","morph_ksize","over_cnt","over_total","over_pct","under_cnt","under_total","under_pct","mean_ms"
"0","2.5","3","50","5","5","19","23","82.61","2","109","1.83","23.9195"
"0","3","3","50","5","5","16","23","69.57","4","109","3.67","22.7887"
"0","3.5","3","50","5","5","15","23","65.22","7","109","6.42","22.0276"
"0","4","3","50","5","5","13","23","56.52","14","109","12.84","21.4224"
"0","4.5","3","50","5","5","10","23","43.48","24","109","22.02","21.6341"
"0","5","3","50","5","5","8","23","34.78","35","109","32.11","26.2141"
"1","2.5","3","50","5","5","17","23","73.91","3","109","2.75","52.5372"
"1","3","3","50","5","5","15","23","65.22","7","109","6.42","56.9909"
"1","3.5","3","50","5","5","14","23","60.87","11","109","10.09","55.3648"
"1","4","3","50","5","5","12","23","52.17","21","109","19.27","48.6928"
"1","4.5","3","50","5","5","11","23","47.83","30","109","27.52","49.505"
"1","5","3","50","5","5","8","23","34.78","40","109","36.7","48.3836"
